8.751761807	6.37490138	5.176818002	8.882632269	8.172694972	7.798322715	6.217182875	8.676241918	7.982062003	6.312507561	5.692034131	5.093253918
5.265069539	8.081908132	8.940763324	7.882302765	6.400472151	7.911369022	7.186953066	6.648848554	5.962101979	5.694034904	7.361862206	5.690511817
6.937872437	8.840046081	6.496690229	7.214097483	6.802399836	8.996431839	6.435612578	7.568026709	5.754884708	7.817219181	5.358209135	8.576775573
6.191602838	8.340224651	8.80597647	8.773033364	5.772928187	6.382743877	8.747127323	5.278882173	8.569843557	8.480167451	8.419064745	6.409487196
7.346050726	6.09209864	8.613506444	7.215534894	5.379326976	8.930305877	8.90012066	5.798193138	7.580995101	6.109228764	7.878348836	6.557278591
6.675258321	5.256677523	5.617799753	5.983176101	8.601683929	5.208406107	5.351834141	5.692750894	5.268796196	6.431567405	7.740310178	5.353721108
7.523521883	6.526288383	8.303602584	7.975100122	8.822230913	8.934729348	8.145411814	6.452224835	7.390857033	8.251150142	6.141880241	5.418317541
8.218366053	5.590812856	5.256974392	6.03934545	8.87213054	6.458408189	8.750393351	6.244568281	8.119478593	6.461589876	5.347888838	6.899552243
8.699526957	8.476515041	8.110745465	5.805036701	6.761934602	5.566634419	8.76781604	7.552787141	6.122259187	7.727245388	8.114742077	8.646702926
7.94458827	8.12494647	7.395100258	6.27579165	7.74314535	6.221250162	5.00085286	6.38022152	8.504381928	5.433627846	8.971855037	5.203556313
